import time: self [us] | cumulative | imported package
import time:       264 |       1196 |                         openai.types.chat.chat_completion_tool_choice_option_param
import time:       253 |        253 |                         openai.types.chat.chat_completion_function_call_option_param
import time:       838 |       7255 |                       openai.types.chat.completion_create_params
import time:       161 |        161 |                       openai.types.chat.completion_update_params
import time:       119 |        119 |                       openai.types.chat.chat_completion_tool_param
import time:       458 |        458 |                       openai.types.chat.chat_completion_function_tool
import time:       309 |        309 |                         openai.types.chat.chat_completion_content_part_text
import time:       554 |        554 |                         openai.types.chat.chat_completion_content_part_image
import time:       381 |       1243 |                       openai.types.chat.chat_completion_store_message
import time:       117 |        117 |                       openai.types.chat.chat_completion_reasoning_effort
import time:       135 |        135 |                       openai.types.chat.chat_completion_message_tool_call_param
import time:       386 |      17669 |                     openai.types.chat
import time:       253 |        253 |                     openai.types.responses.custom_tool_param
import time:       425 |        425 |                     openai.types.responses.computer_tool_param
import time:       344 |        344 |                     openai.types.responses.function_tool_param
import time:       557 |        557 |                     openai.types.responses.web_search_tool_param
import time:       366 |        366 |                     openai.types.responses.file_search_tool_param
import time:      1023 |      20634 |                   openai.types.responses.tool_param
import time:       430 |        430 |                     openai.types.responses.response_input_message_item
import time:       472 |        472 |                     openai.types.responses.response_function_tool_call_item
import time:       575 |        575 |                     openai.types.responses.response_computer_tool_call_output_item
import time:       300 |        300 |                     openai.types.responses.response_function_tool_call_output_item
import time:      1870 |       3645 |                   openai.types.responses.response_item
import time:      1750 |       1750 |                   openai.types.responses.parsed_response
import time:       478 |        478 |                   openai.types.responses.response_item_list
import time:       144 |        144 |                   openai.types.responses.response_includable
import time:       437 |        437 |                   openai.types.responses.response_error_event
import time:       183 |        183 |                         openai.types.responses.response_input_file_param
import time:       151 |        151 |                         openai.types.responses.response_input_text_param
import time:       168 |        168 |                         openai.types.responses.response_input_image_param
import time:       146 |        647 |                       openai.types.responses.response_input_message_content_list_param
import time:       231 |        878 |                     openai.types.responses.easy_input_message_param
import time:       584 |        584 |                       openai.types.responses.response_output_text_param
import time:       292 |        292 |                       openai.types.responses.response_output_refusal_param
import time:       222 |       1098 |                     openai.types.responses.response_output_message_param
import time:       593 |        593 |                     openai.types.responses.response_reasoning_item_param
import time:       311 |        311 |                     openai.types.responses.response_custom_tool_call_param
import time:       790 |        790 |                     openai.types.responses.response_computer_tool_call_param
import time:       344 |        344 |                     openai.types.responses.response_function_tool_call_param
import time:       442 |        442 |                     openai.types.responses.response_function_web_search_param
import time:       240 |        240 |                     openai.types.responses.response_file_search_tool_call_param
import time:       380 |        380 |                     openai.types.responses.response_custom_tool_call_output_param
import time:       457 |        457 |                     openai.types.responses.response_code_interpreter_tool_call_param
import time:       357 |        357 |                     openai.types.responses.response_computer_tool_call_output_screenshot_param
import time:      1702 |       7587 |                   openai.types.responses.response_input_param
import time:       307 |        307 |                   openai.types.responses.response_failed_event
import time:       310 |        310 |                   openai.types.responses.response_prompt_param
import time:       265 |        265 |                   openai.types.responses.response_queued_event
import time:       261 |        261 |                     openai.types.responses.response_created_event
import time:       334 |        334 |                     openai.types.responses.response_completed_event
import time:      8640 |       8640 |                     openai.types.responses.response_text_done_event
import time:       498 |        498 |                     openai.types.responses.response_audio_done_event
import time:       384 |        384 |                     openai.types.responses.response_incomplete_event
import time:       700 |        700 |                     openai.types.responses.response_text_delta_event
import time:       375 |        375 |                     openai.types.responses.response_audio_delta_event
import time:       370 |        370 |                     openai.types.responses.response_in_progress_event
import time:       346 |        346 |                     openai.types.responses.response_refusal_done_event
import time:       370 |        370 |                     openai.types.responses.response_refusal_delta_event
import time:       380 |        380 |                     openai.types.responses.response_mcp_call_failed_event
import time:       473 |        473 |                     openai.types.responses.response_output_item_done_event
import time:       324 |        324 |                     openai.types.responses.response_content_part_done_event
import time:       369 |        369 |                     openai.types.responses.response_output_item_added_event
import time:       393 |        393 |                     openai.types.responses.response_content_part_added_event
import time:       250 |        250 |                     openai.types.responses.response_mcp_call_completed_event
import time:       271 |        271 |                     openai.types.responses.response_reasoning_text_done_event
import time:       242 |        242 |                     openai.types.responses.response_mcp_call_in_progress_event
import time:       248 |        248 |                     openai.types.responses.response_reasoning_text_delta_event
import time:       451 |        451 |                     openai.types.responses.response_audio_transcript_done_event
import time:       230 |        230 |                     openai.types.responses.response_mcp_list_tools_failed_event
import time:       303 |        303 |                     openai.types.responses.response_audio_transcript_delta_event
import time:       355 |        355 |                     openai.types.responses.response_mcp_call_arguments_done_event
import time:       348 |        348 |                     openai.types.responses.response_image_gen_call_completed_event
import time:       235 |        235 |                     openai.types.responses.response_mcp_call_arguments_delta_event
import time:       351 |        351 |                     openai.types.responses.response_mcp_list_tools_completed_event
import time:       424 |        424 |                     openai.types.responses.response_image_gen_call_generating_event
import time:       322 |        322 |                     openai.types.responses.response_web_search_call_completed_event
import time:       322 |        322 |                     openai.types.responses.response_web_search_call_searching_event
import time:       235 |        235 |                     openai.types.responses.response_file_search_call_completed_event
import time:       401 |        401 |                     openai.types.responses.response_file_search_call_searching_event
import time:       244 |        244 |                     openai.types.responses.response_image_gen_call_in_progress_event
import time:       237 |        237 |                     openai.types.responses.response_mcp_list_tools_in_progress_event
import time:       248 |        248 |                     openai.types.responses.response_custom_tool_call_input_done_event
import time:       488 |        488 |                     openai.types.responses.response_reasoning_summary_part_done_event
import time:       405 |        405 |                     openai.types.responses.response_reasoning_summary_text_done_event
import time:       354 |        354 |                     openai.types.responses.response_web_search_call_in_progress_event
import time:       244 |        244 |                     openai.types.responses.response_custom_tool_call_input_delta_event
import time:       358 |        358 |                     openai.types.responses.response_file_search_call_in_progress_event
import time:       365 |        365 |                     openai.types.responses.response_function_call_arguments_done_event
import time:       260 |        260 |                     openai.types.responses.response_image_gen_call_partial_image_event
import time:       285 |        285 |                     openai.types.responses.response_output_text_annotation_added_event
import time:       495 |        495 |                     openai.types.responses.response_reasoning_summary_part_added_event
import time:       270 |        270 |                     openai.types.responses.response_reasoning_summary_text_delta_event
import time:       294 |        294 |                     openai.types.responses.response_function_call_arguments_delta_event
import time:       460 |        460 |                     openai.types.responses.response_code_interpreter_call_code_done_event
import time:       284 |        284 |                     openai.types.responses.response_code_interpreter_call_completed_event
import time:       293 |        293 |                     openai.types.responses.response_code_interpreter_call_code_delta_event
import time:       278 |        278 |                     openai.types.responses.response_code_interpreter_call_in_progress_event
import time:       234 |        234 |                     openai.types.responses.response_code_interpreter_call_interpreting_event
import time:       637 |      25913 |                   openai.types.responses.response_stream_event
import time:       393 |        393 |                   openai.types.responses.tool_choice_mcp_param
import time:       175 |        175 |                   openai.types.responses.input_item_list_params
import time:       205 |        205 |                     openai.types.responses.tool_choice_types_param
import time:       398 |        398 |                     openai.types.responses.tool_choice_custom_param
import time:       154 |        154 |                     openai.types.responses.tool_choice_allowed_param
import time:       169 |        169 |                         openai.types.responses.response_format_text_json_schema_config_param
import time:       127 |        296 |                       openai.types.responses.response_format_text_config_param
import time:       148 |        443 |                     openai.types.responses.response_text_config_param
import time:       266 |        266 |                     openai.types.responses.tool_choice_function_param
import time:       127 |        127 |                     openai.types.responses.response_conversation_param
import time:       537 |       2127 |                   openai.types.responses.response_create_params
import time:       223 |        223 |                   openai.types.responses.response_retrieve_params
import time:      1110 |       1110 |                   openai.types.responses.response_input_item_param
import time:       128 |        128 |                   openai.types.responses.response_input_content_param
import time:       705 |      94270 |                 openai.types.responses
import time:        18 |      94288 |               openai.types.responses.response_input_text
import time:       883 |      95170 |             openai.types.graders.label_model_grader
import time:       826 |        826 |             openai.types.graders.score_model_grader
import time:       406 |        406 |             openai.types.graders.string_check_grader
import time:       415 |        415 |             openai.types.graders.text_similarity_grader
import time:       543 |      97808 |           openai.types.graders.multi_grader
import time:       352 |        352 |             openai.types.graders.python_grader_param
import time:       373 |        373 |             openai.types.graders.label_model_grader_param
import time:       513 |        513 |             openai.types.graders.score_model_grader_param
import time:       377 |        377 |             openai.types.graders.string_check_grader_param
import time:       262 |        262 |             openai.types.graders.text_similarity_grader_param
import time:       383 |       2258 |           openai.types.graders.multi_grader_param
import time:       348 |     100413 |         openai.types.graders
import time:        17 |     100429 |       openai.types.graders.python_grader_param
import time:       774 |     103872 |     openai.types.eval_create_params
import time:       433 |        433 |       openai.types.eval_custom_data_source_config
import time:       425 |        425 |       openai.types.eval_stored_completions_data_source_config
import time:      1331 |       2188 |     openai.types.eval_list_response
import time:       328 |        328 |     openai.types.eval_update_params
import time:       208 |        208 |     openai.types.file_create_params
import time:       320 |        320 |     openai.types.batch_create_params
import time:      1069 |       1069 |     openai.types.eval_create_response
import time:       265 |        265 |     openai.types.eval_delete_response
import time:      1068 |       1068 |     openai.types.eval_update_response
import time:       366 |        366 |     openai.types.upload_create_params
import time:       526 |        526 |     openai.types.vector_store_deleted
import time:       135 |        135 |     openai.types.audio_response_format
import time:       261 |        261 |     openai.types.container_list_params
import time:       359 |        359 |     openai.types.image_generate_params
import time:      1040 |       1040 |     openai.types.eval_retrieve_response
import time:       331 |        331 |       openai.types.other_file_chunking_strategy_object
import time:       279 |        279 |         openai.types.static_file_chunking_strategy
import time:       414 |        693 |       openai.types.static_file_chunking_strategy_object
import time:       321 |       1344 |     openai.types.file_chunking_strategy
import time:       732 |        732 |       openai.types.image_gen_completed_event
import time:       412 |        412 |       openai.types.image_gen_partial_image_event
import time:       229 |       1372 |     openai.types.image_gen_stream_event
import time:       174 |        174 |     openai.types.upload_complete_params
import time:       364 |        364 |     openai.types.container_create_params
import time:       603 |        603 |     openai.types.container_list_response
import time:       206 |        206 |     openai.types.embedding_create_params
import time:       730 |        730 |       openai.types.image_edit_completed_event
import time:       321 |        321 |       openai.types.image_edit_partial_image_event
import time:       147 |       1197 |     openai.types.image_edit_stream_event
import time:       516 |        516 |     openai.types.completion_create_params
import time:       148 |        148 |         openai.types.moderation_text_input_param
import time:       187 |        187 |         openai.types.moderation_image_url_input_param
import time:       287 |        621 |       openai.types.moderation_multi_modal_input_param
import time:       159 |        780 |     openai.types.moderation_create_params
import time:       246 |        246 |     openai.types.vector_store_list_params
import time:       441 |        441 |     openai.types.container_create_response
import time:       511 |        511 |     openai.types.create_embedding_response
import time:       755 |        755 |     openai.types.moderation_create_response
import time:       375 |        375 |         openai.types.auto_file_chunking_strategy_param
import time:       145 |        145 |           openai.types.static_file_chunking_strategy_param
import time:       151 |        296 |         openai.types.static_file_chunking_strategy_object_param
import time:       165 |        834 |       openai.types.file_chunking_strategy_param
import time:       239 |       1073 |     openai.types.vector_store_create_params
import time:       343 |        343 |     openai.types.vector_store_search_params
import time:       270 |        270 |     openai.types.vector_store_update_params
import time:       564 |        564 |     openai.types.container_retrieve_response
import time:       594 |        594 |     openai.types.vector_store_search_response
import time:       348 |        348 |     openai.types.websocket_connection_options
import time:       261 |        261 |     openai.types.image_create_variation_params
import time:       892 |     434952 |   openai.types
import time:       523 |        523 |     openai._exceptions
import time:       441 |        441 |     openai._qs
import time:       201 |        201 |     openai._version
import time:       493 |        493 |     openai._streaming
import time:       947 |        947 |           argparse
import time:       402 |        402 |           shlex
import time:       805 |       2154 |         distro.distro
import time:       400 |       2554 |       distro
import time:       771 |        771 |       openai._response
import time:       514 |        514 |       openai._legacy_response
import time:        77 |         77 |       httpx_aiohttp
import time:      1830 |       5744 |     openai._base_client
import time:       702 |       8101 |   openai._client
import time:       345 |        345 |   openai._utils._resources_proxy
import time:       255 |        255 |       openai.lib._pydantic
import time:       394 |        648 |     openai.lib._tools
import time:       365 |        365 |       openai.lib._parsing._completions
import time:       201 |        566 |     openai.lib._parsing
import time:       254 |       1467 |   openai.lib
import time:       556 |        556 |   openai.lib.azure
import time:       125 |        125 |   openai.version
import time:       232 |        232 |   openai.lib._old_api
import time:      1164 |       1164 |         openai.types.beta.thread
import time:       446 |        446 |             openai.types.beta.function_tool
import time:       656 |        656 |             openai.types.beta.file_search_tool
import time:       522 |        522 |             openai.types.beta.code_interpreter_tool
import time:       357 |       1979 |           openai.types.beta.assistant_tool
import time:       313 |        313 |           openai.types.beta.assistant_response_format_option
import time:       924 |       3215 |         openai.types.beta.assistant
import time:       395 |        395 |         openai.types.beta.thread_deleted
import time:       450 |        450 |         openai.types.beta.assistant_deleted
import time:       319 |        319 |         openai.types.beta.function_tool_param
import time:       407 |        407 |           openai.types.beta.file_search_tool_param
import time:       139 |        139 |           openai.types.beta.code_interpreter_tool_param
import time:       201 |        747 |         openai.types.beta.assistant_tool_param
import time:       412 |        412 |                 openai.types.beta.threads.run_status
import time:       382 |        382 |                     openai.types.beta.assistant_tool_choice_function
import time:       397 |        778 |                   openai.types.beta.assistant_tool_choice
import time:       209 |        986 |                 openai.types.beta.assistant_tool_choice_option
import time:       524 |        524 |                 openai.types.beta.threads.required_action_function_tool_call
import time:      1808 |       3729 |               openai.types.beta.threads.run
import time:       362 |        362 |                   openai.types.beta.threads.file_path_annotation
import time:       465 |        465 |                   openai.types.beta.threads.file_citation_annotation
import time:       260 |       1086 |                 openai.types.beta.threads.annotation
import time:       404 |       1489 |               openai.types.beta.threads.text
import time:       378 |        378 |                   openai.types.beta.threads.text_content_block
import time:       318 |        318 |                   openai.types.beta.threads.refusal_content_block
import time:       580 |        580 |                     openai.types.beta.threads.image_url
import time:       377 |        957 |                   openai.types.beta.threads.image_url_content_block
import time:       395 |        395 |                     openai.types.beta.threads.image_file
import time:       368 |        762 |                   openai.types.beta.threads.image_file_content_block
import time:       168 |       2580 |                 openai.types.beta.threads.message_content
import time:       961 |       3541 |               openai.types.beta.threads.message
import time:       378 |        378 |                   openai.types.beta.threads.file_path_delta_annotation
import time:       548 |        548 |                   openai.types.beta.threads.file_citation_delta_annotation
import time:       323 |       1248 |                 openai.types.beta.threads.annotation_delta
import time:       471 |       1718 |               openai.types.beta.threads.text_delta
import time:       284 |        284 |                   openai.types.beta.threads.text_delta_block
import time:       231 |        231 |                   openai.types.beta.threads.refusal_delta_block
import time:       225 |        225 |                     openai.types.beta.threads.image_url_delta
import time:       336 |        560 |                   openai.types.beta.threads.image_url_delta_block
import time:       220 |        220 |                     openai.types.beta.threads.image_file_delta
import time:       385 |        605 |                   openai.types.beta.threads.image_file_delta_block
import time:       341 |       2020 |                 openai.types.beta.threads.message_content_delta
import time:       420 |       2439 |               openai.types.beta.threads.message_delta
import time:       302 |        302 |               openai.types.beta.threads.image_url_param
import time:       236 |        236 |               openai.types.beta.threads.message_deleted
import time:       168 |        168 |               openai.types.beta.threads.run_list_params
import time:       246 |        246 |               openai.types.beta.threads.image_file_param
import time:       964 |        964 |                           openai.types.beta.threads.runs.function_tool_call
import time:       856 |        856 |                           openai.types.beta.threads.runs.file_search_tool_call
import time:       679 |        679 |                           openai.types.beta.threads.runs.code_interpreter_tool_call
import time:       333 |       2830 |                         openai.types.beta.threads.runs.tool_call
import time:       380 |       3210 |                       openai.types.beta.threads.runs.tool_calls_step_details
import time:       424 |        424 |                       openai.types.beta.threads.runs.message_creation_step_details
import time:      1051 |       4684 |                     openai.types.beta.threads.runs.run_step
import time:       394 |        394 |                           openai.types.beta.threads.runs.function_tool_call_delta
import time:       243 |        243 |                           openai.types.beta.threads.runs.file_search_tool_call_delta
import time:       234 |        234 |                             openai.types.beta.threads.runs.code_interpreter_logs
import time:       406 |        406 |                             openai.types.beta.threads.runs.code_interpreter_output_image
import time:       535 |       1175 |                           openai.types.beta.threads.runs.code_interpreter_tool_call_delta
import time:       163 |       1974 |                         openai.types.beta.threads.runs.tool_call_delta
import time:       267 |       2240 |                       openai.types.beta.threads.runs.tool_call_delta_object
import time:       348 |        348 |                       openai.types.beta.threads.runs.run_step_delta_message_delta
import time:       454 |       3042 |                     openai.types.beta.threads.runs.run_step_delta
import time:       135 |        135 |                     openai.types.beta.threads.runs.run_step_include
import time:       217 |        217 |                     openai.types.beta.threads.runs.step_list_params
import time:       272 |        272 |                     openai.types.beta.threads.runs.run_step_delta_event
import time:       177 |        177 |                     openai.types.beta.threads.runs.step_retrieve_params
import time:       443 |       8967 |                   openai.types.beta.threads.runs
import time:        16 |       8982 |                 openai.types.beta.threads.runs.run_step_include
import time:       149 |        149 |                   openai.types.beta.threads.text_content_block_param
import time:       144 |        144 |                   openai.types.beta.threads.image_url_content_block_param
import time:       274 |        274 |                   openai.types.beta.threads.image_file_content_block_param
import time:       142 |        707 |                 openai.types.beta.threads.message_content_part_param
import time:       223 |        223 |                     openai.types.beta.assistant_tool_choice_function_param
import time:       211 |        434 |                   openai.types.beta.assistant_tool_choice_param
import time:       203 |        636 |                 openai.types.beta.assistant_tool_choice_option_param
import time:       200 |        200 |                 openai.types.beta.assistant_response_format_option_param
import time:       632 |      11155 |               openai.types.beta.threads.run_create_params
import time:       229 |        229 |               openai.types.beta.threads.run_update_params
import time:       350 |        350 |               openai.types.beta.threads.message_delta_event
import time:       265 |        265 |               openai.types.beta.threads.message_list_params
import time:       323 |        323 |               openai.types.beta.threads.message_create_params
import time:       141 |        141 |               openai.types.beta.threads.message_update_params
import time:       237 |        237 |               openai.types.beta.threads.run_submit_tool_outputs_params
import time:       487 |      27049 |             openai.types.beta.threads
import time:        16 |      27064 |           openai.types.beta.threads.message_content_part_param
import time:       663 |      27727 |         openai.types.beta.thread_create_params
import time:       341 |        341 |         openai.types.beta.thread_update_params
import time:       328 |        328 |         openai.types.beta.assistant_list_params
import time:      2867 |       2867 |         openai.types.beta.assistant_stream_event
import time:       489 |        489 |         openai.types.beta.assistant_create_params
import time:       472 |        472 |         openai.types.beta.assistant_update_params
import time:       990 |        990 |         openai.types.beta.thread_create_and_run_params
import time:       418 |      39915 |       openai.types.beta
import time:       535 |      40449 |     openai.lib.streaming._assistants
import time:       253 |      40702 |   openai.lib.streaming
import time:       849 |        849 |   openai._module_client
import time:      1113 |     504370 | openai
